transaction_id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc_id,errors
23565628,2024-09-20 08:43:00,44,5748,60.0,Chip Transaction,27092,Medford,OR,97501.0,4829,Bad PIN
23252317,2024-07-15 21:19:00,327,3063,20.0,Chip Transaction,27092,Bloomfield,CT,6002.0,4829,Bad PIN
22878540,2024-04-27 18:21:00,233,1297,0.0,Chip Transaction,27092,Minneapolis,MN,55433.0,4829,Bad PIN
23402443,2024-08-16 14:44:00,114,3398,92.0,Chip Transaction,59935,North Hollywood,CA,91606.0,5499,Bad PIN
23267370,2024-07-19 08:16:00,157,1052,23.66,Chip Transaction,59935,Perris,CA,92571.0,5499,Bad PIN
23146350,2024-06-23 15:13:00,359,3567,7.92,Chip Transaction,59935,Lawrenceville,GA,30043.0,5499,Bad PIN
23103335,2024-06-14 15:01:00,351,1112,5.33,Chip Transaction,59935,Flushing,NY,11355.0,5499,Bad PIN
23081784,2024-06-10 00:36:00,114,3398,-88.0,Chip Transaction,59935,North Hollywood,CA,91606.0,5499,Bad PIN
23618150,2024-10-01 10:42:00,112,6040,14.31,Chip Transaction,91128,Carthage,NY,13619.0,5411,Bad PIN
23603263,2024-09-28 08:09:00,57,6006,4.54,Chip Transaction,75900,Tucson,AZ,85741.0,5411,Bad PIN
23563893,2024-09-19 18:56:00,114,3398,2.78,Chip Transaction,41137,North Hollywood,CA,91606.0,5411,Bad PIN
23539034,2024-09-14 12:50:00,449,351,6.02,Chip Transaction,8972,New Kensington,PA,15068.0,5411,Bad PIN
23430035,2024-08-22 12:31:00,394,6057,17.7,Chip Transaction,79463,Stamford,CT,6906.0,5411,Bad PIN
23354717,2024-08-06 13:18:00,401,5628,9.66,Chip Transaction,84241,Marshalltown,IA,50158.0,5411,Bad PIN
23338301,2024-08-03 06:51:00,212,4145,78.51,Chip Transaction,50783,Dallas,TX,75227.0,5411,Bad PIN
23236655,2024-07-12 16:06:00,359,3567,10.32,Chip Transaction,97814,Lawrenceville,GA,30043.0,5411,Bad PIN
23233643,2024-07-12 06:56:00,254,1247,0.31,Chip Transaction,50783,Frisco,CO,80443.0,5411,Bad PIN
23112163,2024-06-16 12:17:00,81,2962,11.9,Chip Transaction,67995,Folly Beach,SC,29439.0,5411,Bad PIN
23430736,2024-08-22 14:42:00,114,3398,53.0,Chip Transaction,61195,North Hollywood,CA,91606.0,5541,Bad PIN
23325859,2024-07-31 13:26:00,55,3265,1.69,Chip Transaction,14528,Richmond,CA,94804.0,5499,Bad PIN
23199956,2024-07-05 01:49:00,125,2023,9.17,Chip Transaction,23462,Modesto,CA,95351.0,5813,Bad PIN
23185580,2024-07-01 18:46:00,114,5283,1.89,Chip Transaction,64586,North Hollywood,CA,91606.0,5912,Bad PIN
23068161,2024-06-07 08:14:00,96,3695,35.26,Chip Transaction,32175,Ventura,CA,93001.0,7538,Bad PIN
23122261,2024-06-18 14:32:00,114,3398,60.73,Chip Transaction,26810,Orlando,FL,32814.0,5541,Bad PIN
23738044,2024-10-26 19:50:00,414,2815,105.46,Chip Transaction,30907,Morristown,NJ,7960.0,5812,Bad PIN
23628618,2024-10-03 14:45:00,144,5247,11.33,Chip Transaction,59397,Orlando,FL,32817.0,5812,Bad PIN
23607137,2024-09-29 00:18:00,379,2019,3.01,Chip Transaction,35451,Selma,AL,36701.0,5812,Bad PIN
23568829,2024-09-20 19:48:00,21,4769,3.07,Chip Transaction,59397,Terre Haute,IN,47803.0,5812,Bad PIN
22927865,2024-05-08 11:49:00,442,141,14.47,Chip Transaction,75958,Cottage Hills,IL,62018.0,5812,Bad PIN
23724828,2024-10-24 07:03:00,61,3503,74.78,Chip Transaction,67570,White Plains,NY,10606.0,5311,Bad PIN
23708817,2024-10-20 14:20:00,300,3814,131.61,Chip Transaction,24823,Monroe,CT,6468.0,7538,Bad PIN
23706530,2024-10-20 07:29:00,356,5279,25.46,Chip Transaction,20519,Childersburg,AL,35044.0,5942,Bad PIN
23660944,2024-10-10 12:45:00,369,5378,7.27,Chip Transaction,75936,Louisville,KY,40299.0,5814,Bad PIN
23605034,2024-09-28 13:16:00,137,6114,299.08,Chip Transaction,60569,Louisville,TN,37777.0,5300,Bad PIN
23450097,2024-08-26 14:37:00,57,6006,56.33,Chip Transaction,20561,Tucson,AZ,85741.0,5912,Bad PIN
23447074,2024-08-26 02:30:00,394,6057,13.92,Chip Transaction,67570,Caldwell,NJ,7006.0,5311,Bad PIN
23431409,2024-08-22 17:09:00,331,3818,89.0,Chip Transaction,43293,Andrews,SC,29510.0,5499,Bad PIN
23412618,2024-08-18 16:17:00,461,3172,116.0,Chip Transaction,75363,Canton,MI,48188.0,5912,Bad PIN
23332459,2024-08-01 20:54:00,84,5750,140.62,Chip Transaction,30286,Lenoir,NC,28645.0,4814,Bad PIN
23307406,2024-07-27 13:27:00,112,4339,0.74,Chip Transaction,86438,Carthage,NY,13619.0,5499,Bad PIN
23268632,2024-07-19 12:06:00,211,4746,1.91,Chip Transaction,14528,Lake Havasu City,AZ,86404.0,5499,Bad PIN
23267725,2024-07-19 09:16:00,199,2306,0.19,Chip Transaction,14528,Allen,TX,75002.0,5499,Bad PIN
23261390,2024-07-17 22:34:00,27,5025,26.59,Chip Transaction,100043,Carthage,MS,39051.0,7832,Bad PIN
23218271,2024-07-08 16:59:00,123,227,28.57,Chip Transaction,13523,Hampton,GA,30228.0,5310,Bad PIN
23213021,2024-07-07 15:45:00,315,3121,13.22,Chip Transaction,60569,Wooster,OH,44691.0,5300,Bad PIN
23174984,2024-06-29 15:34:00,137,6114,67.06,Chip Transaction,95198,Johnson City,TN,37604.0,5211,Bad PIN
23152323,2024-06-24 20:26:00,173,3528,91.76,Chip Transaction,82981,Abilene,TX,79606.0,5912,Bad PIN
23089652,2024-06-11 16:14:00,321,5755,111.97,Chip Transaction,54199,Merrill,WI,54452.0,5310,Bad PIN
22999575,2024-05-23 16:02:00,383,1092,6.2,Chip Transaction,21756,Oakdale,LA,71463.0,5912,Bad PIN
22991644,2024-05-22 01:22:00,350,3623,4.18,Chip Transaction,86616,Rockville,MD,20853.0,4814,Bad PIN
22970965,2024-05-17 13:45:00,208,2426,46.65,Chip Transaction,88922,Bothell,WA,98021.0,4121,Bad PIN
22915237,2024-05-05 14:26:00,364,5673,2.51,Chip Transaction,19964,Bean Station,TN,37708.0,5311,Bad PIN
22914218,2024-05-05 11:34:00,140,3041,15.62,Chip Transaction,5248,Whites Creek,TN,37189.0,5499,Bad PIN
22897047,2024-05-01 19:26:00,391,4936,31.03,Chip Transaction,19756,Durant,OK,74701.0,7832,Bad PIN
23704665,2024-10-19 16:26:00,349,4314,1.27,Swipe Transaction,86438,Orrville,OH,44667.0,5499,Bad PIN
23694913,2024-10-17 16:26:00,28,5198,14.46,Swipe Transaction,61195,Woodbridge,VA,22191.0,5541,Bad PIN
23667110,2024-10-11 16:40:00,216,4367,-79.0,Swipe Transaction,59935,New Castle,IN,47362.0,5499,Bad PIN
23629291,2024-10-03 16:51:00,460,5470,100.0,Swipe Transaction,27092,Port Chester,NY,10573.0,4829,Bad PIN
23563352,2024-09-19 16:17:00,356,2312,40.78,Swipe Transaction,81833,Stuart,FL,34997.0,5912,Bad PIN
23490685,2024-09-04 10:51:00,127,2376,-54.0,Swipe Transaction,22204,Pike Road,AL,36064.0,5541,Bad PIN
23459836,2024-08-28 19:18:00,488,5413,49.36,Swipe Transaction,78454,Kingsville,TX,78363.0,5812,Bad PIN
23423608,2024-08-21 07:03:00,488,5413,22.88,Swipe Transaction,32175,Orange Grove,TX,78372.0,7538,Bad PIN
23410384,2024-08-18 09:34:00,155,239,40.44,Swipe Transaction,34572,Hattiesburg,MS,39401.0,7349,Bad PIN
23377901,2024-08-11 10:42:00,470,3733,80.0,Swipe Transaction,27092,Muldrow,OK,74948.0,4829,Bad PIN
23338374,2024-08-03 07:04:00,357,2085,73.61,Swipe Transaction,33422,Philadelphia,PA,19152.0,7538,Bad PIN
23307472,2024-07-27 13:39:00,173,3528,68.41,Swipe Transaction,73450,Abilene,TX,79605.0,7230,Bad PIN
23285195,2024-07-22 19:10:00,478,135,39.0,Swipe Transaction,75936,Suwanee,GA,30024.0,5814,Bad PIN
23231776,2024-07-11 15:54:00,430,2860,23.6,Swipe Transaction,46417,Crown Point,IN,46307.0,5411,Bad PIN
23111119,2024-06-16 09:02:00,377,4602,7.99,Swipe Transaction,29549,Kent,WA,98032.0,5912,Bad PIN
23105817,2024-06-15 07:54:00,126,5466,11.58,Swipe Transaction,38743,Little Rock,AR,72209.0,5912,Bad PIN
22992100,2024-05-22 07:13:00,265,2305,8.59,Swipe Transaction,88140,Corpus Christi,TX,78418.0,5411,Bad PIN
23759857,2024-10-31 13:52:00,329,4082,1.0,Chip Transaction,14528,Oak View,CA,93022.0,5499,Technical Glitch
23754218,2024-10-30 11:29:00,13,2941,7.54,Chip Transaction,71085,Phoenix,AZ,85027.0,5813,Technical Glitch
23744610,2024-10-28 09:17:00,110,4103,11.97,Chip Transaction,61195,Austin,TX,78728.0,5541,Technical Glitch
23737196,2024-10-26 15:34:00,190,3851,33.9,Chip Transaction,59935,Skokie,IL,60077.0,5499,Technical Glitch
23731452,2024-10-25 12:40:00,50,247,120.62,Chip Transaction,16712,Iron Mountain,MI,49801.0,5912,Technical Glitch
23708316,2024-10-20 12:46:00,455,348,12.04,Chip Transaction,83271,Jamaica,NY,11434.0,4214,Technical Glitch
23698987,2024-10-18 13:37:00,112,1134,75.24,Chip Transaction,18215,East Amherst,NY,14051.0,5719,Technical Glitch
23689875,2024-10-16 15:56:00,84,5750,13.32,Chip Transaction,5660,Lansing,NC,28643.0,5211,Technical Glitch
23680553,2024-10-14 13:25:00,419,3854,21.2,Chip Transaction,81833,Valley Springs,CA,95252.0,5912,Technical Glitch
23673809,2024-10-13 07:39:00,134,6120,72.46,Chip Transaction,34702,El Paso,TX,79912.0,5310,Technical Glitch
23669317,2024-10-12 08:37:00,369,2779,19.23,Chip Transaction,47354,Louisville,KY,40299.0,7922,Technical Glitch
23617824,2024-10-01 09:22:00,205,3620,0.94,Chip Transaction,14528,Great Falls,MT,59404.0,5499,Technical Glitch
23611859,2024-09-29 22:27:00,300,3814,269.17,Chip Transaction,92822,Loveland,OH,45140.0,3395,Technical Glitch
23607492,2024-09-29 06:19:00,343,3523,42.31,Chip Transaction,54850,Manteca,CA,95337.0,4814,Technical Glitch
23591418,2024-09-25 16:09:00,38,2526,120.0,Chip Transaction,27092,Naples,FL,34110.0,4829,Technical Glitch
23589051,2024-09-25 08:01:00,87,109,52.25,Chip Transaction,81833,San Benito,TX,78586.0,5912,Technical Glitch
23563632,2024-09-19 17:26:00,11,243,48.59,Chip Transaction,25887,Reisterstown,MD,21136.0,5814,Technical Glitch
23551866,2024-09-17 08:24:00,319,248,98.3,Chip Transaction,75781,Fresno,CA,93727.0,5411,Technical Glitch
23523808,2024-09-11 10:45:00,425,3931,15.71,Chip Transaction,72515,Carmel,CA,93923.0,5814,Technical Glitch
23523169,2024-09-11 08:15:00,277,4038,2.53,Chip Transaction,75781,Calhoun City,MS,38916.0,5411,Technical Glitch
23522563,2024-09-11 05:12:00,464,3233,103.07,Chip Transaction,24823,Orlando,FL,32804.0,7538,Technical Glitch
